,SEASON,PLAYER_NAME,PLAYER_ID,TEAM_ABBREVIATION,GP,MIN,HEIGHT,POSITION,HEIGHT_CM,POSITION_SIMPLE,Lv1,Lv2,Lv1_and_Lv2
3354,2003-04,Michael Curry,688,TOR,70,17.5,6-5,Forward-Guard,195.6,G,True,False,False
3355,2003-04,Michael Doleac,1720,DEN,72,14.2,,,,,True,False,False
3356,2003-04,Michael Finley,714,DAL,72,38.6,6-7,Guard-Forward,200.7,G,True,True,True
3357,2003-04,Michael Olowokandi,1709,MIN,43,21.5,,,,,True,True,True
3358,2003-04,Michael Redd,2072,MIL,82,36.8,6-6,Guard,198.1,G,True,True,True
3359,2003-04,Michael Ruffin,1913,UTA,41,17.8,6-8,Forward-Center,203.2,F,True,False,False
3360,2003-04,Michael Stewart,1565,BOS,25,5.9,6-10,Center,208.3,C,False,False,False
3361,2003-04,Michael Sweetney,2552,NYK,42,11.8,6-8,Forward,203.2,F,True,False,False
3362,2003-04,Mickael Pietrus,2554,GSW,53,14.2,6-6,Forward,198.1,F,True,False,False
3363,2003-04,Mike Bibby,1710,SAC,82,36.4,,,,,True,True,True
3364,2003-04,Mike Dunleavy,2399,GSW,75,31.2,6-9,Guard-Forward,205.7,G,True,True,True
3365,2003-04,Mike James,2229,DET,81,27.1,6-2,Guard,188.0,G,True,True,True
3366,2003-04,Mike Miller,2034,MEM,65,27.1,6-8,Guard-Forward,203.2,G,True,True,True
3367,2003-04,Mike Wilks,2366,HOU,26,5.4,5-10,Guard,177.8,G,False,False,False
3368,2003-04,Mikki Moore,1630,UTA,32,12.3,,,,,False,False,False
3369,2003-04,Milt Palacio,1960,TOR,59,20.5,6-4,Guard,193.0,G,True,True,True
3370,2003-04,Mitchell Butler,348,WAS,41,13.5,6-5,Guard,195.6,G,True,False,False
3371,2003-04,Mo Williams,2590,UTA,57,13.6,6-1,Guard,185.4,G,True,False,False
3372,2003-04,Moochie Norris,983,NYK,66,12.8,6-1,Guard,185.4,G,True,False,False
3373,2003-04,Morris Peterson,2050,TOR,82,26.1,6-7,Guard,200.7,G,True,True,True
3374,2003-04,Nazr Mohammed,1737,NYK,80,20.1,,,,,True,True,True
3375,2003-04,Ndudi Ebi,2569,MIN,17,1.9,6-9,Forward,205.7,F,False,False,False
3376,2003-04,Nene,2403,DEN,77,32.6,6-11,Center-Forward,210.8,F,True,True,True
3377,2003-04,Nick Van Exel,89,GSW,39,32.2,6-1,Guard,185.4,G,False,True,False
3378,2003-04,Nikoloz Tskitishvili,2401,DEN,39,7.8,7-0,Forward,213.4,F,False,False,False
3379,2003-04,Olden Polynice,178,LAC,2,5.5,6-10,Center-Forward,208.3,F,False,False,False
3380,2003-04,Oliver Miller,932,MIN,48,10.5,6-9,Center,205.7,C,True,False,False
3381,2003-04,Omar Cook,2241,POR,17,8.1,6-1,Guard,185.4,G,False,False,False
3382,2003-04,Othella Harrington,970,NYK,56,15.6,6-9,Forward-Center,205.7,F,True,False,False
3383,2003-04,P.J. Brown,136,NOH,80,34.5,6-11,Forward-Center,210.8,F,True,True,True
3384,2003-04,Pat Garrity,1727,ORL,2,10.6,,,,,False,False,False
3385,2003-04,Pau Gasol,2200,MEM,78,31.4,7-0,Center-Forward,213.4,F,True,True,True
3386,2003-04,Paul Grant,1514,UTA,10,9.6,,,,,False,False,False
3387,2003-04,Paul Pierce,1718,BOS,80,38.7,,,,,True,True,True
3388,2003-04,Paul Shirley,2321,CHI,7,12.0,6-10,Forward,208.3,F,False,False,False
3389,2003-04,Peja Stojakovic,978,SAC,81,40.4,,,,,True,True,True
3390,2003-04,Popeye Jones,461,GSW,5,2.0,6-8,Forward,203.2,F,False,False,False
3391,2003-04,Predrag Drobnjak,1542,LAC,61,15.6,6-11,Center,210.8,C,True,False,False
3392,2003-04,Primoz Brezec,2056,IND,18,3.9,7-1,Center,215.9,C,False,False,False
3393,2003-04,Quentin Richardson,2047,LAC,65,36.0,6-6,Forward,198.1,F,True,True,True
3394,2003-04,Quincy Lewis,1900,MIN,14,4.5,6-7,Guard-Forward,200.7,G,False,False,False
3395,2003-04,Qyntel Woods,2417,POR,62,10.7,6-8,Forward-Guard,203.2,G,True,False,False
3396,2003-04,Raef LaFrentz,1711,BOS,17,19.4,,,,,False,False,False
3397,2003-04,Rafer Alston,1747,MIA,82,31.5,6-2,Guard,188.0,G,True,True,True
3398,2003-04,Raja Bell,1952,UTA,82,24.6,6-5,Guard,195.6,G,True,True,True
3399,2003-04,Randy Livingston,988,LAC,4,12.1,6-4,Guard,193.0,G,False,False,False
3400,2003-04,Rashard Lewis,1740,SEA,80,36.7,,,,,True,True,True
3401,2003-04,Rasheed Wallace,739,DET,68,35.2,6-11,Forward-Center,210.8,F,True,True,True
3402,2003-04,Rasho Nesterovic,1725,SAS,82,28.8,7-0,Center,213.4,C,True,True,True
3403,2003-04,Rasual Butler,2446,MIA,45,15.0,6-7,Forward,200.7,F,True,False,False
3404,2003-04,Raul Lopez,2221,UTA,82,19.8,6-0,Guard,182.9,G,True,False,False
3405,2003-04,Ray Allen,951,SEA,56,38.5,6-5,Guard,195.6,G,True,True,True
3406,2003-04,Reece Gaines,2558,ORL,38,9.3,6-6,Guard,198.1,G,False,False,False
3407,2003-04,Reggie Evans,2501,SEA,75,17.1,6-8,Center-Forward,203.2,F,True,False,False
3408,2003-04,Reggie Miller,397,IND,80,28.3,6-7,Guard,200.7,G,True,True,True
3409,2003-04,Richard Hamilton,1888,DET,78,35.7,6-7,Guard,200.7,G,True,True,True
3410,2003-04,Richard Jefferson,2210,NJN,82,38.2,6-7,Forward,200.7,F,True,True,True
3411,2003-04,Richie Frahm,2499,SEA,54,8.5,6-5,Guard,195.6,G,True,False,False
3412,2003-04,Rick Brunson,1594,CHI,40,10.2,6-4,Guard,193.0,G,False,False,False
3413,2003-04,Rick Fox,296,LAL,38,22.3,6-7,Forward,200.7,F,False,True,False
3414,2003-04,Ricky Davis,1729,BOS,79,31.3,6-7,Guard,200.7,G,True,True,True
3415,2003-04,Robert Archibald,2425,TOR,32,7.9,6-11,Forward,210.8,F,False,False,False
3416,2003-04,Robert Horry,109,SAS,81,15.9,6-10,Forward-Center,208.3,F,True,False,False
3417,2003-04,Robert Pack,123,NJN,26,8.3,6-2,Guard,188.0,G,False,False,False
3418,2003-04,Robert Traylor,1714,NOH,71,13.2,6-8,Forward-Center,203.2,F,True,False,False
3419,2003-04,Rod Strickland,393,TOR,61,19.7,6-3,Guard,190.5,G,True,False,False
3420,2003-04,Rodney Buford,1934,SAC,22,6.3,6-5,Forward-Guard,195.6,G,False,False,False
3421,2003-04,Rodney Rogers,915,NJN,69,20.5,6-7,Forward,200.7,F,True,True,True
3422,2003-04,Rodney White,2206,DEN,72,13.7,6-9,Forward,205.7,F,True,False,False
3423,2003-04,Roger Mason Jr.,2427,TOR,26,12.5,6-5,Guard,195.6,G,False,False,False
3424,2003-04,Ron Mercer,1500,SAS,39,13.3,6-7,Guard-Forward,200.7,G,False,False,False
3425,2003-04,Ronald Dupree,2648,CHI,47,19.2,6-7,Forward,200.7,F,True,False,False
3426,2003-04,Ruben Boumtje-Boumtje,2257,POR,9,2.8,7-0,Center,213.4,C,False,False,False
3427,2003-04,Ruben Patterson,1739,POR,73,22.6,6-5,Forward,195.6,F,True,True,True
3428,2003-04,Rusty LaRue,1601,GSW,4,4.8,6-3,Guard,190.5,G,False,False,False
3429,2003-04,Ryan Bowen,1763,DEN,52,7.5,6-9,Forward,205.7,F,True,False,False
3430,2003-04,Ryan Humphrey,2415,MEM,2,5.8,6-8,Forward,203.2,F,False,False,False
3431,2003-04,Sam Cassell,208,MIN,81,35.2,6-3,Guard,190.5,G,True,True,True
3432,2003-04,Samaki Walker,955,MIA,33,12.6,6-9,Forward,205.7,F,False,False,False
3433,2003-04,Samuel Dalembert,2223,PHI,82,26.9,6-11,Center,210.8,C,True,True,True
3434,2003-04,Sasha Pavlovic,2562,UTA,79,14.4,6-7,Guard-Forward,200.7,G,True,False,False
3435,2003-04,Scot Pollard,1513,IND,61,11.1,6-11,Center-Forward,210.8,F,True,False,False
3436,2003-04,Scott Padgett,1909,HOU,58,9.5,6-9,Forward,205.7,F,True,False,False
3437,2003-04,Scott Williams,281,DAL,43,12.4,6-10,Forward-Center,208.3,F,True,False,False
3438,2003-04,Scottie Pippen,937,CHI,23,17.9,6-8,Forward-Guard,203.2,G,False,False,False
3439,2003-04,Sean Lampley,2253,GSW,10,6.1,6-6,Forward,198.1,F,False,False,False
3440,2003-04,Sean Rooks,399,ORL,55,10.7,6-10,Center,208.3,C,True,False,False
3441,2003-04,Shammond Williams,1742,NOH,53,14.4,6-1,Guard,185.4,G,True,False,False
3442,2003-04,Shandon Anderson,1000,NYK,80,24.6,6-6,Guard-Forward,198.1,G,True,True,True
3443,2003-04,Shane Battier,2203,MEM,79,24.7,6-8,Forward,203.2,F,True,True,True
3444,2003-04,Shane Heal,1049,SAS,6,11.5,6-0,Guard,182.9,G,False,False,False
3445,2003-04,Shaquille O'Neal,406,LAL,67,36.8,7-1,Center,215.9,C,True,True,True
3446,2003-04,Shareef Abdur-Rahim,949,POR,85,31.7,6-9,Forward,205.7,F,True,True,True
3447,2003-04,Shawn Bradley,762,DAL,66,11.6,7-6,Center,228.6,C,True,False,False
3448,2003-04,Shawn Marion,1890,PHX,79,40.6,6-7,Guard-Forward,200.7,G,True,True,True
3449,2003-04,Slava Medvedenko,2098,LAL,68,21.3,6-10,Forward,208.3,F,True,True,True
3450,2003-04,Slavko Vranes,2582,POR,1,2.8,7-5,Center,226.1,C,False,False,False
3451,2003-04,Speedy Claxton,2049,GSW,60,26.6,5-11,Guard,180.3,G,True,True,True
3452,2003-04,Stacey Augmon,278,NOH,69,20.6,6-8,Forward-Guard,203.2,G,True,True,True
3453,2003-04,Stephen Jackson,1536,ATL,80,36.8,6-8,Guard-Forward,203.2,G,True,True,True
3454,2003-04,Stephon Marbury,950,NYK,81,40.2,6-2,Guard,188.0,G,True,True,True
3455,2003-04,Steve Blake,2581,WAS,75,18.5,6-3,Guard,190.5,G,True,False,False
3456,2003-04,Steve Francis,1883,HOU,79,40.5,6-3,Guard,190.5,G,True,True,True
3457,2003-04,Steve Nash,959,DAL,78,33.5,6-3,Guard,190.5,G,True,True,True
3458,2003-04,Steven Hunter,2212,ORL,59,13.4,7-0,Center,213.4,C,True,False,False
3459,2003-04,Steven Smith,120,NOH,71,13.0,6-8,Guard-Forward,203.2,G,True,False,False
3460,2003-04,Stromile Swift,2031,MEM,77,19.9,6-10,Forward-Center,208.3,F,True,False,False
3461,2003-04,T.J. Ford,2551,MIL,55,27.0,6-0,Guard,182.9,G,True,True,True
3462,2003-04,Tamar Slay,2447,NJN,22,7.2,6-8,Guard,203.2,G,False,False,False
3463,2003-04,Tayshaun Prince,2419,DET,82,32.9,6-9,Forward,205.7,F,True,True,True
3464,2003-04,Theo Ratliff,689,POR,85,31.3,6-10,Center,208.3,C,True,True,True
3465,2003-04,Theron Smith,2604,MEM,20,8.9,6-8,Forward,203.2,F,False,False,False
3466,2003-04,Tierre Brown,2357,NOH,3,6.1,6-2,Guard,188.0,G,False,False,False
3467,2003-04,Tim Duncan,1495,SAS,69,36.6,6-11,Center-Forward,210.8,F,True,True,True
3468,2003-04,Tim Thomas,1501,NYK,66,31.7,6-10,Forward,208.3,F,True,True,True
3469,2003-04,Tom Gugliotta,339,UTA,55,14.9,6-10,Forward,208.3,F,True,False,False
3470,2003-04,Toni Kukoc,389,MIL,73,20.7,6-11,Forward,210.8,F,True,True,True
3471,2003-04,Tony Battie,1499,CLE,73,20.2,6-11,Center,210.8,C,True,True,True
3472,2003-04,Tony Delk,960,DAL,33,15.6,6-2,Guard,188.0,G,False,False,False
3473,2003-04,Tony Massenburg,763,SAC,59,13.3,6-9,Forward-Center,205.7,F,True,False,False
3474,2003-04,Tony Parker,2225,SAS,75,34.4,6-2,Guard,188.0,G,True,True,True
3475,2003-04,Torraye Braggs,1765,WAS,15,10.0,6-8,Forward,203.2,F,False,False,False
3476,2003-04,Tracy McGrady,1503,ORL,67,40.1,6-8,Guard-Forward,203.2,G,True,True,True
3477,2003-04,Tracy Murray,145,POR,7,5.0,6-7,Forward,200.7,F,False,False,False
3478,2003-04,Travis Best,696,DAL,61,12.5,5-11,Guard,180.3,G,True,False,False
3479,2003-04,Travis Hansen,2580,ATL,41,12.4,6-6,Guard-Forward,198.1,G,True,False,False
3480,2003-04,Travis Outlaw,2566,POR,8,2.3,6-9,Forward,205.7,F,False,False,False
3481,2003-04,Tremaine Fowlkes,1762,DET,36,7.0,6-8,Forward,203.2,F,False,False,False
3482,2003-04,Trenton Hassell,2239,MIN,81,27.9,6-5,Forward-Guard,195.6,G,True,True,True
3483,2003-04,Troy Bell,2559,MEM,6,5.8,6-1,Guard,185.4,G,False,False,False
3484,2003-04,Troy Hudson,1607,MIN,29,17.4,6-1,Guard,185.4,G,False,False,False
3485,2003-04,Troy Murphy,2211,GSW,28,21.9,6-11,Forward-Center,210.8,F,False,True,False
3486,2003-04,Tyrone Hill,238,MIA,5,7.5,6-9,Forward,205.7,F,False,False,False
3487,2003-04,Tyronn Lue,1731,ORL,76,30.7,6-0,Guard,182.9,G,True,True,True
3488,2003-04,Tyson Chandler,2199,CHI,35,22.5,7-0,Center,213.4,C,False,True,False
3489,2003-04,Udonis Haslem,2617,MIA,75,24.0,6-7,Forward,200.7,F,True,True,True
3490,2003-04,Vin Baker,452,NYK,54,24.5,6-11,Forward,210.8,F,True,True,True
3491,2003-04,Vince Carter,1713,TOR,73,38.2,6-6,Guard-Forward,198.1,G,True,True,True
3492,2003-04,Vitaly Potapenko,958,SEA,65,21.9,6-10,Center-Forward,208.3,F,True,True,True
3493,2003-04,Vlade Divac,124,SAC,81,28.6,7-1,Center,215.9,C,True,True,True
3494,2003-04,Vladimir Radmanovic,2209,SEA,77,30.2,6-10,Forward,208.3,F,True,True,True
3495,2003-04,Vladimir Stepania,1735,POR,42,10.8,7-1,Center,215.9,C,True,False,False
3496,2003-04,Voshon Lenard,702,DEN,73,30.7,6-4,Guard,193.0,G,True,True,True
3497,2003-04,Wally Szczerbiak,1887,MIN,28,22.3,6-7,Guard-Forward,200.7,G,False,True,False
3498,2003-04,Walter McCarty,962,BOS,77,24.7,6-10,Forward,208.3,F,True,True,True
3499,2003-04,Wang Zhi-zhi,1917,MIA,16,7.1,7-1,Center,215.9,C,False,False,False
3500,2003-04,Wesley Person,445,ATL,58,17.8,6-6,Guard-Forward,198.1,G,True,False,False
3501,2003-04,Willie Green,2584,PHI,53,14.5,6-3,Guard,190.5,G,True,False,False
3502,2003-04,Yao Ming,2397,HOU,82,32.9,7-6,Center,228.6,C,True,True,True
3503,2003-04,Zach Randolph,2216,POR,81,37.9,6-9,Forward,205.7,F,True,True,True
3504,2003-04,Zarko Cabarkapa,2560,PHX,49,11.7,6-11,Forward-Center,210.8,F,True,False,False
3505,2003-04,Zaza Pachulia,2585,ORL,59,11.2,6-11,Center,210.8,C,True,False,False
3506,2003-04,Zeljko Rebraca,1442,ATL,24,11.2,7-0,Center,213.4,C,False,False,False
3507,2003-04,Zendon Hamilton,1985,PHI,46,10.2,6-11,Forward-Center,210.8,F,True,False,False
3508,2003-04,Zoran Planinic,2565,NJN,49,9.5,,,,,True,False,False
3509,2003-04,Zydrunas Ilgauskas,980,CLE,81,31.4,7-3,Center,221.0,C,True,True,True
3510,2004-05,Aaron McKie,243,PHI,68,16.6,6-5,Guard,195.6,G,True,False,False
3511,2004-05,Aaron Williams,1425,TOR,42,7.4,6-9,Center-Forward,205.7,F,True,False,False
3512,2004-05,Adonal Foyle,1502,GSW,78,21.8,6-10,Center,208.3,C,True,True,True
3513,2004-05,Adrian Griffin,1559,CHI,69,9.5,6-5,Guard-Forward,195.6,G,True,False,False
3514,2004-05,Al Harrington,1733,ATL,66,38.6,6-9,Forward,205.7,F,True,True,True
3515,2004-05,Al Jefferson,2744,BOS,71,14.7,6-10,Center,208.3,C,True,False,False
3516,2004-05,Alan Henderson,673,DAL,78,15.3,6-9,Forward-Center,205.7,F,True,False,False
3517,2004-05,Aleksandar Radojevic,1893,UTA,12,10.7,7-3,Center,221.0,C,False,False,False
3518,2004-05,Alex Garcia,2682,NOH,8,18.2,6-3,Guard-Forward,190.5,G,False,False,False
3519,2004-05,Allan Houston,275,NYK,20,26.7,6-6,Guard,198.1,G,False,True,False
3520,2004-05,Allen Iverson,947,PHI,75,42.3,6-0,Guard,182.9,G,True,True,True
3521,2004-05,Alonzo Mourning,297,MIA,37,19.0,6-10,Center,208.3,C,False,False,False
3522,2004-05,Amar'e Stoudemire,2405,PHX,80,36.1,6-10,Forward-Center,208.3,F,True,True,True
3523,2004-05,Anderson Varejao,2760,CLE,54,16.1,6-11,Forward,210.8,F,True,False,False
3524,2004-05,Andre Barrett,2857,ORL,38,12.6,5-10,Guard,177.8,G,False,False,False
3525,2004-05,Andre Emmett,2765,MEM,8,3.2,6-5,Guard,195.6,G,False,False,False
3526,2004-05,Andre Iguodala,2738,PHI,82,32.7,6-6,Guard-Forward,198.1,G,True,True,True
3527,2004-05,Andre Miller,1889,DEN,82,34.7,6-3,Guard,190.5,G,True,True,True
3528,2004-05,Andrei Kirilenko,1905,UTA,41,33.0,6-9,Forward,205.7,F,True,True,True
3529,2004-05,Andres Nocioni,2804,CHI,81,23.4,,,,,True,True,True
3530,2004-05,Andrew DeClercq,692,ORL,8,6.3,6-10,Center,208.3,C,False,False,False
3531,2004-05,Andris Biedrins,2740,GSW,30,12.7,7-0,Center,213.4,C,False,False,False
3532,2004-05,Anfernee Hardaway,358,NYK,37,24.2,6-7,Forward,200.7,F,False,True,False
3533,2004-05,Ansu Sesay,1738,GSW,16,8.0,6-9,Forward,205.7,F,False,False,False
3534,2004-05,Antawn Jamison,1712,WAS,68,38.4,6-9,Forward,205.7,F,True,True,True
3535,2004-05,Anthony Carter,1853,MIN,66,10.8,6-1,Guard,185.4,G,True,False,False
3536,2004-05,Anthony Goldwire,924,MIL,33,16.1,6-2,Guard,188.0,G,False,False,False
3537,2004-05,Anthony Johnson,1533,IND,63,27.9,6-3,Guard,190.5,G,True,True,True
3538,2004-05,Anthony Miller,292,ATL,2,4.9,6-9,Forward,205.7,F,False,False,False
3539,2004-05,Anthony Peeler,324,WAS,40,13.2,6-4,Guard,193.0,G,False,False,False
3540,2004-05,Antoine Walker,952,BOS,77,38.5,6-9,Forward,205.7,F,True,True,True
3541,2004-05,Antonio Burks,2766,MEM,24,9.1,6-0,Guard,182.9,G,False,False,False
3542,2004-05,Antonio Daniels,1498,SEA,75,27.0,6-4,Guard,193.0,G,True,True,True
3543,2004-05,Antonio Davis,213,CHI,72,25.6,6-9,Forward-Center,205.7,F,True,True,True
3544,2004-05,Antonio McDyess,686,DET,77,23.4,6-9,Forward-Center,205.7,F,True,True,True
3545,2004-05,Austin Croshere,1506,IND,73,25.0,6-10,Forward,208.3,F,True,True,True
3546,2004-05,Awvee Storey,2852,NJN,9,3.0,6-6,Forward-Guard,198.1,G,False,False,False
3547,2004-05,Baron Davis,1884,GSW,46,34.4,6-3,Guard,190.5,G,True,True,True
3548,2004-05,Ben Gordon,2732,CHI,82,24.5,6-3,Guard,190.5,G,True,True,True
3549,2004-05,Ben Handlogten,1052,UTA,21,14.0,6-10,Center,208.3,C,False,False,False
3550,2004-05,Ben Wallace,1112,DET,74,36.1,6-9,Forward-Center,205.7,F,True,True,True
3551,2004-05,Beno Udrih,2757,SAS,80,14.4,6-3,Guard,190.5,G,True,False,False
3552,2004-05,Bernard Robinson,2774,CHA,31,10.6,6-6,Guard-Forward,198.1,G,False,False,False
3553,2004-05,Billy Thomas,2873,NJN,25,14.0,6-5,Guard,195.6,G,False,False,False
3554,2004-05,Bo Outlaw,448,PHX,39,5.5,6-8,Forward,203.2,F,False,False,False
3555,2004-05,Bob Sura,682,HOU,61,31.6,6-5,Guard,195.6,G,True,True,True
3556,2004-05,Bobby Jackson,1517,SAC,25,21.6,6-1,Guard,185.4,G,False,True,False
3557,2004-05,Bobby Simmons,2250,LAC,75,37.5,6-6,Forward,198.1,F,True,True,True
3558,2004-05,Bonzi Wells,1719,MEM,69,21.6,6-5,Guard-Forward,195.6,G,True,True,True
3559,2004-05,Boris Diaw,2564,ATL,66,18.1,6-8,Center-Forward,203.2,F,True,False,False
3560,2004-05,Bostjan Nachbar,2411,NOH,71,18.9,6-9,Forward,205.7,F,True,False,False
3561,2004-05,Brad Miller,1802,SAC,56,37.4,7-0,Center-Forward,213.4,F,True,True,True
3562,2004-05,Brandin Knight,2688,HOU,1,2.8,6-0,Guard,182.9,G,False,False,False
3563,2004-05,Brandon Hunter,2599,ORL,31,7.0,6-7,Forward,200.7,F,False,False,False
3564,2004-05,Brendan Haywood,2217,WAS,68,27.5,7-0,Center,213.4,C,True,True,True
3565,2004-05,Brent Barry,699,SAS,81,21.4,6-7,Guard,200.7,G,True,True,True
3566,2004-05,Brevin Knight,1510,CHA,66,29.5,5-10,Guard,177.8,G,True,True,True
3567,2004-05,Brian Cardinal,2073,MEM,58,24.7,6-8,Forward,203.2,F,True,True,True
3568,2004-05,Brian Cook,2567,LAL,72,15.0,6-9,Center-Forward,205.7,F,True,False,False
3569,2004-05,Brian Grant,258,LAL,69,16.6,6-9,Forward-Center,205.7,F,True,False,False
3570,2004-05,Brian Scalabrine,2243,NJN,54,21.6,6-9,Forward,205.7,F,True,True,True
3571,2004-05,Brian Skinner,1730,SAC,49,19.3,6-9,Forward-Center,205.7,F,True,False,False
3572,2004-05,Britton Johnsen,2639,IND,6,14.0,6-10,Forward,208.3,F,False,False,False
3573,2004-05,Bruce Bowen,1477,SAS,82,32.0,6-7,Forward,200.7,F,True,True,True
3574,2004-05,Bruno Sundov,1743,NYK,21,3.3,7-2,Center,218.4,C,False,False,False
3575,2004-05,Bryon Russell,935,DEN,70,14.7,6-7,Guard-Forward,200.7,G,True,False,False
3576,2004-05,Calbert Cheaney,384,GSW,55,17.2,6-7,Guard-Forward,200.7,G,True,False,False
3577,2004-05,Calvin Booth,1916,MIL,51,8.9,6-11,Center,210.8,C,True,False,False
3578,2004-05,Carlos Arroyo,2306,DET,70,20.6,6-2,Guard,188.0,G,True,True,True
3579,2004-05,Carlos Boozer,2430,UTA,51,34.9,6-9,Forward,205.7,F,True,True,True
3580,2004-05,Carlos Delfino,2568,DET,30,15.4,6-6,Guard-Forward,198.1,G,False,False,False
3581,2004-05,Carmelo Anthony,2546,DEN,75,34.8,6-7,Forward,200.7,F,True,True,True
3582,2004-05,Caron Butler,2406,LAL,77,35.6,6-7,Forward,200.7,F,True,True,True
3583,2004-05,Casey Jacobsen,2418,NOH,84,21.5,6-6,Guard,198.1,G,True,True,True
3584,2004-05,Charlie Ward,369,HOU,14,25.7,6-2,Guard,188.0,G,False,True,False
3585,2004-05,Chauncey Billups,1497,DET,80,35.9,6-3,Guard,190.5,G,True,True,True
3586,2004-05,Chris Andersen,2365,NOH,67,21.3,6-10,Forward-Center,208.3,F,True,True,True
3587,2004-05,Chris Bosh,2547,TOR,81,37.2,6-11,Forward,210.8,F,True,True,True
3588,2004-05,Chris Duhon,2768,CHI,82,26.5,6-1,Guard,185.4,G,True,True,True
3589,2004-05,Chris Kaman,2549,LAC,63,26.0,7-0,Center,213.4,C,True,True,True
3590,2004-05,Chris Mihm,2036,LAL,75,25.0,7-0,Center,213.4,C,True,True,True
3591,2004-05,Chris Webber,185,PHI,67,35.4,6-10,Forward-Center,208.3,F,True,True,True
3592,2004-05,Chris Wilcox,2404,LAC,54,18.6,6-10,Forward-Center,208.3,F,True,False,False
3593,2004-05,Christian Laettner,363,MIA,49,15.1,6-11,Forward-Center,210.8,F,True,False,False
3594,2004-05,Chucky Atkins,1088,LAL,82,35.5,5-11,Guard,180.3,G,True,True,True
3595,2004-05,Clar. Weatherspoon,221,HOU,40,13.1,6-7,Forward,200.7,F,False,False,False
3596,2004-05,Clifford Robinson,361,NJN,71,23.9,6-10,Forward-Center,208.3,F,True,True,True
3597,2004-05,Corey Maggette,1894,LAC,66,37.1,6-6,Forward,198.1,F,True,True,True
3598,2004-05,Corliss Williamson,722,SAC,72,21.3,6-7,Forward,200.7,F,True,True,True
3599,2004-05,Corsley Edwards,2451,NOH,10,11.0,6-9,Forward,205.7,F,False,False,False
3600,2004-05,Cory Alexander,724,CHA,16,12.4,6-1,Guard,185.4,G,False,False,False
3601,2004-05,Curtis Borchardt,2414,UTA,67,12.8,7-0,Center,213.4,C,True,False,False
3602,2004-05,Cuttino Mobley,1749,SAC,66,36.3,6-4,Guard,193.0,G,True,True,True
3603,2004-05,DJ Mbenga,2788,DAL,15,3.8,7-0,Center,213.4,C,False,False,False
3604,2004-05,Dahntay Jones,2563,MEM,52,12.4,6-6,Guard-Forward,198.1,G,True,False,False
3605,2004-05,Dajuan Wagner,2402,CLE,11,9.3,6-3,Guard,190.5,G,False,False,False
3606,2004-05,Dale Davis,905,IND,61,21.4,6-11,Center-Forward,210.8,F,True,True,True
3607,2004-05,Damien Wilkins,2863,SEA,29,17.8,6-6,Guard-Forward,198.1,G,False,False,False
3608,2004-05,Damon Jones,1800,MIA,82,31.4,6-3,Guard,190.5,G,True,True,True
3609,2004-05,Damon Stoudamire,757,POR,81,34.2,5-10,Guard,177.8,G,True,True,True
3610,2004-05,Damone Brown,2245,WAS,14,10.8,6-8,Forward,203.2,F,False,False,False
3611,2004-05,Dan Dickau,2424,NOH,71,29.3,6-0,Guard,182.9,G,True,True,True
3612,2004-05,Dan Gadzuric,2429,MIL,81,22.0,6-11,Center,210.8,C,True,True,True
3613,2004-05,Daniel Santiago,2091,MIL,11,9.5,7-1,Center,215.9,C,False,False,False
3614,2004-05,Danny Fortson,1504,SEA,62,16.9,6-8,Center-Forward,203.2,F,True,False,False
3615,2004-05,Darius Miles,2032,POR,63,26.9,6-9,Forward,205.7,F,True,True,True
3616,2004-05,Darius Songaila,2443,SAC,81,20.5,6-9,Forward,205.7,F,True,True,True
3617,2004-05,Darko Milicic,2545,DET,37,6.8,7-0,Center,213.4,C,False,False,False
3618,2004-05,Darrell Armstrong,353,DAL,66,15.0,6-1,Guard,185.4,G,True,False,False
3619,2004-05,Darrick Martin,239,LAC,11,17.2,5-11,Guard,180.3,G,False,False,False
3620,2004-05,Darvin Ham,1032,DET,47,5.5,6-7,Forward-Guard,200.7,G,True,False,False
3621,2004-05,David Harrison,2758,IND,43,17.7,7-0,Center,213.4,C,True,False,False
3622,2004-05,David Wesley,133,HOU,80,34.7,6-1,Guard,185.4,G,True,True,True
3623,2004-05,David West,2561,NOH,30,18.3,6-9,Forward,205.7,F,False,False,False
3624,2004-05,DeSagana Diop,2205,CLE,39,7.8,7-0,Center,213.4,C,False,False,False
3625,2004-05,DeShawn Stevenson,2052,ORL,55,19.6,6-5,Forward-Guard,195.6,G,True,False,False
3626,2004-05,Delonte West,2753,BOS,39,12.9,6-3,Guard,190.5,G,False,False,False
3627,2004-05,DerMarr Johnson,2035,DEN,71,17.2,6-9,Forward-Guard,205.7,G,True,False,False
3628,2004-05,Derek Anderson,1507,POR,47,26.3,6-5,Guard,195.6,G,True,True,True
3629,2004-05,Derek Fisher,965,GSW,74,30.0,6-1,Guard,185.4,G,True,True,True
3630,2004-05,Derrick Coleman,934,DET,5,9.9,6-10,Forward,208.3,F,False,False,False
3631,2004-05,Desmond Mason,2046,MIL,80,36.1,6-5,Guard,195.6,G,True,True,True
3632,2004-05,Devean George,1904,LAL,15,20.5,6-8,Forward,203.2,F,False,True,False
3633,2004-05,Devin Brown,2484,SAS,67,18.4,6-5,Guard,195.6,G,True,False,False
3634,2004-05,Devin Harris,2734,DAL,76,15.5,6-3,Guard,190.5,G,True,False,False
