,SEASON,PLAYER_NAME,PLAYER_ID,TEAM_ABBREVIATION,GP,MIN,HEIGHT,POSITION,HEIGHT_CM,POSITION_SIMPLE,Lv1,Lv2,Lv1_and_Lv2
64,1996-97,Charles Jones,279,HOU,12,7.7,6-9,Forward-Center,205.7,F,False,False,False
65,1996-97,Charles Oakley,891,NYK,80,35.9,6-9,Forward,205.7,F,True,True,True
66,1996-97,Charles Smith,293,SAS,19,17.3,6-10,Forward,208.3,F,False,False,False
67,1996-97,Charlie Ward,369,NYK,79,22.3,6-2,Guard,188.0,G,True,True,True
68,1996-97,Cherokee Parks,685,MIN,76,12.7,6-11,Forward-Center,210.8,F,True,False,False
69,1996-97,Chris Carr,713,MIN,55,15.0,6-6,Guard,198.1,G,True,False,False
70,1996-97,Chris Childs,164,NYK,65,31.9,6-3,Guard,190.5,G,True,True,True
71,1996-97,Chris Dudley,201,POR,81,22.7,6-11,Center,210.8,C,True,True,True
72,1996-97,Chris Gatling,423,NJN,47,27.3,,Forward,,F,True,True,True
73,1996-97,Chris Jent,1137,NYK,3,3.1,6-7,Forward,200.7,F,False,False,False
74,1996-97,Chris Mills,168,CLE,80,39.6,6-7,Forward,200.7,F,True,True,True
75,1996-97,Chris Morris,356,UTA,73,13.4,6-8,Forward,203.2,F,True,False,False
76,1996-97,Chris Mullin,904,GSW,79,34.6,,Forward,,F,True,True,True
77,1996-97,Chris Robinson,997,VAN,41,16.6,6-5,Guard,195.6,G,True,False,False
78,1996-97,Chris Webber,185,WAS,72,39.0,6-10,Forward-Center,208.3,F,True,True,True
79,1996-97,Chris Whitney,43,WAS,82,13.6,6-0,Guard,182.9,G,True,False,False
80,1996-97,Christian Laettner,363,ATL,82,38.2,6-11,Forward-Center,210.8,F,True,True,True
81,1996-97,Chucky Brown,359,MIL,70,10.8,6-8,Forward,203.2,F,True,False,False
82,1996-97,Clar. Weatherspoon,221,PHI,82,36.0,6-7,Forward,200.7,F,True,True,True
83,1996-97,Clifford Robinson,361,POR,81,38.0,6-10,Forward-Center,208.3,F,True,True,True
84,1996-97,Clifford Rozier,32,TOR,42,17.5,6-11,Center,210.8,C,True,False,False
85,1996-97,Clyde Drexler,17,HOU,62,36.6,6-7,Guard,200.7,G,True,True,True
86,1996-97,Corie Blount,916,LAL,58,17.3,6-10,Forward-Center,208.3,F,True,False,False
87,1996-97,Corliss Williamson,722,SAC,79,25.1,6-7,Forward,200.7,F,True,True,True
88,1996-97,Cory Alexander,724,SAS,80,18.1,6-1,Guard,185.4,G,True,False,False
89,1996-97,Craig Ehlo,378,SEA,62,13.7,6-6,Guard,198.1,G,True,False,False
90,1996-97,Cuonzo Martin,733,MIL,3,4.3,6-5,Guard,195.6,G,False,False,False
91,1996-97,Dale Davis,905,IND,80,32.4,6-11,Center-Forward,210.8,F,True,True,True
92,1996-97,Dale Ellis,107,DEN,82,35.9,6-7,Guard,200.7,G,True,True,True
93,1996-97,Damon Stoudamire,757,TOR,81,40.9,5-10,Guard,177.8,G,True,True,True
94,1996-97,Dan Majerle,105,MIA,36,35.1,6-6,Guard-Forward,198.1,G,False,True,False
95,1996-97,Dan Schayes,7,ORL,45,12.0,6-11,Center,210.8,C,True,False,False
96,1996-97,Dana Barros,344,BOS,24,29.4,5-11,Guard,180.3,G,False,True,False
