Year,Team,Valuation,CPI,RealValuation,LogValuation
2025,LeagueAverage,4416666667.0,322.3,4416666667.0,22.208651100786003
2024,LeagueAverage,3854666667.0,313.7,3960341303.0733185,22.099596046143635
2023,LeagueAverage,2863500000.0,304.7,3028900722.0216613,21.831465592627914
2022,LeagueAverage,2480833333.0,292.7,2731713642.7259994,21.728194957175283
2021,LeagueAverage,2228333333.0,271.0,2650154366.1472325,21.697883726624312
2020,LeagueAverage,2123000000.0,258.8,2643906105.100464,21.695523245862177
2019,LeagueAverage,1868333333.0,255.7,2354962194.8607745,21.579790511148264
2018,LeagueAverage,1651500000.0,251.1,2119786738.3512547,21.47458132545297
2017,LeagueAverage,1355333333.0,245.1,1782227389.7425542,21.30112976152584
2016,LeagueAverage,1245333333.0,240.0,1672378888.44125,21.23751293385663
2015,LeagueAverage,1106166667.0,237.0,1504293319.721941,21.131589069869747
2014,LeagueAverage,634133333.0,236.7,863460807.8829743,20.576459067008486
2013,LeagueAverage,509100000.0,233.0,704218583.6909871,20.372599354128255
2012,LeagueAverage,392533333.0,229.6,551016956.558798,20.127276140797573
2011,LeagueAverage,368766667.0,224.9,528472640.1694086,20.085501593097067
