,SEASON,PLAYER_NAME,PLAYER_ID,TEAM_ABBREVIATION,GP,MIN
116,1996-97,Derek Strong,400,ORL,82,24.5
117,1996-97,Derrick Alston,308,ATL,2,5.3
118,1996-97,Derrick Coleman,934,PHI,57,36.8
119,1996-97,Derrick McKey,365,IND,50,28.9
120,1996-97,Detlef Schrempf,96,SEA,61,35.9
121,1996-97,Devin Gray,1070,SAS,6,8.2
122,1996-97,Dexter Boney,1121,PHX,8,5.6
123,1996-97,Dickey Simpkins,54,CHI,48,8.2
124,1996-97,Dikembe Mutombo,87,ATL,80,37.2
125,1996-97,Dino Radja,129,BOS,25,34.9
126,1996-97,Dominique Wilkins,1122,SAS,63,30.9
127,1996-97,Don MacLean,931,PHI,37,19.8
128,1996-97,Don Reid,690,DET,47,9.8
129,1996-97,Donald Royal,140,CHH,62,13.9
130,1996-97,Donald Whiteside,1126,TOR,27,9.7
131,1996-97,Donnie Boyce,671,ATL,22,7.0
132,1996-97,Donny Marshall,681,CLE,56,9.8
133,1996-97,Dontonio Wingfield,112,POR,47,12.0
134,1996-97,Donyell Marshall,923,GSW,61,16.8
135,1996-97,Doug Christie,57,TOR,81,38.6
136,1996-97,Doug Overton,77,PHI,61,10.5
137,1996-97,Doug West,28,MIN,68,28.3
138,1996-97,Duane Causwell,190,SAC,46,12.9
139,1996-97,Duane Ferrell,273,IND,62,18.0
140,1996-97,Dwayne Schintzius,368,LAC,15,7.7
141,1996-97,Earl Cureton,940,TOR,9,5.0
142,1996-97,Ed O'Bannon,709,DAL,64,12.6
143,1996-97,Ed Pinckney,291,MIA,27,10.0
144,1996-97,Eddie Johnson,698,HOU,52,17.5
145,1996-97,Eddie Jones,224,LAL,80,37.5
146,1996-97,Elden Campbell,922,LAL,77,32.6
147,1996-97,Eldridge Recasner,695,ATL,71,16.9
148,1996-97,Elliot Perry,386,MIL,82,19.5
149,1996-97,Elmer Bennett,1120,DEN,9,8.4
150,1996-97,Elmore Spencer,771,SEA,1,5.5
151,1996-97,Emanual Davis,1023,HOU,13,17.7
152,1996-97,Ennis Whatley,941,POR,3,7.0
153,1996-97,Eric Leckner,287,VAN,20,6.5
154,1996-97,Eric Mobley,211,VAN,28,10.9
155,1996-97,Eric Montross,376,NJN,78,23.4
156,1996-97,Eric Murdock,785,DEN,12,9.6
157,1996-97,Eric Piatkowski,15,LAC,65,11.5
158,1996-97,Eric Snow,727,SEA,67,11.4
159,1996-97,Eric Williams,677,BOS,72,33.8
160,1996-97,Erick Dampier,956,IND,72,14.6
161,1996-97,Erick Strickland,1065,DAL,28,27.1
162,1996-97,Ervin Johnson,911,DEN,82,31.7
163,1996-97,Evric Gray,1026,NJN,5,8.5
164,1996-97,Felton Spencer,280,GSW,73,21.4
165,1996-97,Frank Brickowski,783,BOS,17,15.0
166,1996-97,Frankie King,701,PHI,7,8.5
167,1996-97,Fred Hoiberg,697,IND,47,12.2
168,1996-97,Fred Roberts,122,DAL,12,3.4
169,1996-97,Gary Grant,202,MIA,28,13.0
170,1996-97,Gary Payton,56,SEA,82,39.2
171,1996-97,Gary Trent,718,POR,82,23.4
172,1996-97,Gaylon Nickerson,1093,WAS,4,10.4
173,1996-97,George Lynch,248,VAN,41,25.8
174,1996-97,George McCloud,45,LAL,64,23.3
175,1996-97,George Zidek,678,DEN,52,7.2
176,1996-97,Gerald Wilkins,786,ORL,80,27.6
177,1996-97,Gheorghe Muresan,49,WAS,73,25.2
178,1996-97,Glen Rice,779,CHH,79,42.5
179,1996-97,Glenn Robinson,299,MIL,80,38.9
180,1996-97,Grant Hill,255,DET,80,39.3
181,1996-97,Grant Long,3,DET,65,18.0
182,1996-97,Greg Anderson,246,SAS,82,20.3
183,1996-97,Greg Anthony,21,VAN,65,28.6
184,1996-97,Greg Dreiling,1068,DAL,40,9.7
185,1996-97,Greg Foster,323,UTA,79,11.6
186,1996-97,Greg Graham,37,SEA,28,6.9
187,1996-97,Greg Minor,65,BOS,23,23.8
188,1996-97,Greg Ostertag,731,UTA,77,23.6
189,1996-97,Hakeem Olajuwon,165,HOU,78,36.5
190,1996-97,Harvey Grant,265,WAS,78,20.6
191,1996-97,Haywoode Workman,906,IND,4,20.1
192,1996-97,Henry James,1080,ATL,53,17.9
193,1996-97,Herb Williams,1006,NYK,21,8.7
194,1996-97,Hersey Hawkins,765,SEA,82,33.6
195,1996-97,Horace Grant,270,ORL,67,37.2
196,1996-97,Horacio Llamas,1024,PHX,20,4.9
197,1996-97,Hot Rod Williams,73,PHX,68,31.4
198,1996-97,Howard Eisley,458,UTA,82,13.2
199,1996-97,Hubert Davis,93,TOR,36,17.3
200,1996-97,Ike Austin,1134,MIA,82,22.9
201,1996-97,Isaiah Rider,375,POR,76,33.8
202,1996-97,Ivano Newbill,1096,ATL,72,11.8
203,1996-97,Jack Haley,917,NJN,20,3.7
204,1996-97,Jalen Rose,147,IND,66,18.0
205,1996-97,Jamal Mashburn,469,MIA,69,31.3
206,1996-97,James Robinson,381,MIN,69,19.0
207,1996-97,James Scott,1109,MIA,8,4.0
208,1996-97,Jamie Feick,994,SAS,41,15.2
209,1996-97,Jamie Watson,320,DAL,23,14.8
210,1996-97,Jaren Jackson,1114,WAS,75,15.1
211,1996-97,Jason Caffey,679,CHI,75,18.8
212,1996-97,Jason Kidd,467,PHX,55,35.7
213,1996-97,Jason Sasser,987,DAL,8,8.4
214,1996-97,Jayson Williams,420,NJN,41,34.9
215,1996-97,Jeff Grayer,81,SAC,25,12.7
216,1996-97,Jeff Hornacek,204,UTA,82,31.6
217,1996-97,Jeff McInnis,976,DEN,13,9.0
218,1996-97,Jermaine O'Neal,979,POR,45,10.2
219,1996-97,Jerome Allen,706,DEN,76,12.4
220,1996-97,Jerome Kersey,760,LAL,70,25.2
221,1996-97,Jerome Williams,966,DET,33,5.3
222,1996-97,Jerry Stackhouse,711,PHI,81,39.1
223,1996-97,Jim Jackson,754,NJN,77,36.8
224,1996-97,Jim McIlvaine,29,SEA,82,18.1
225,1996-97,Jimmy Carruth,1131,MIL,4,4.8
226,1996-97,Jimmy King,728,DEN,2,10.8
227,1996-97,Jimmy Oliver,1429,TOR,4,10.7
228,1996-97,Joe Courtney,1432,SAS,9,11.2
229,1996-97,Joe Dumars,247,DET,79,37.0
230,1996-97,Joe Kleine,170,NJN,59,14.4
231,1996-97,Joe Smith,693,GSW,80,38.6
232,1996-97,Joe Stephens,1086,HOU,2,4.9
233,1996-97,Joe Wolf,341,MIL,56,9.3
234,1996-97,John Crotty,180,MIA,48,13.8
235,1996-97,John Long,1381,TOR,32,11.6
236,1996-97,John Starks,317,NYK,77,26.6
237,1996-97,John Stockton,304,UTA,82,35.3
238,1996-97,John Wallace,961,NYK,68,11.6
239,1996-97,Johnny Newman,271,MIL,82,25.1
240,1996-97,Jon Barry,468,ATL,58,16.6
241,1996-97,Jud Buechler,146,CHI,76,9.2
242,1996-97,Juwan Howard,436,WAS,82,40.5
243,1996-97,Karl Malone,252,UTA,82,36.6
244,1996-97,Keith Askins,173,MIA,78,22.7
245,1996-97,Keith Tower,700,MIL,5,14.5
246,1996-97,Ken Norman,80,ATL,17,13.0
247,1996-97,Kendall Gill,383,NJN,82,39.0
248,1996-97,Kenny Anderson,72,POR,82,37.6
249,1996-97,Kenny Smith,181,DEN,48,15.9
250,1996-97,Kerry Kittles,954,NJN,82,36.8
251,1996-97,Kevin Duckworth,404,LAC,26,14.7
252,1996-97,Kevin Edwards,236,NJN,32,14.9
253,1996-97,Kevin Gamble,333,SAC,62,15.4
254,1996-97,Kevin Garnett,708,MIN,77,38.8
255,1996-97,Kevin Johnson,134,PHX,70,37.9
256,1996-97,Kevin Salvadori,1089,SAC,23,6.7
257,1996-97,Kevin Willis,788,HOU,75,26.2
258,1996-97,Khalid Reeves,234,DAL,63,22.7
259,1996-97,Kobe Bryant,977,LAL,71,15.5
