,SEASON,PLAYER_NAME,PLAYER_ID,TEAM_ABBREVIATION,GP,MIN
2866,2002-03,Kelvin Cato,1509,HOU,73,17.2
2867,2002-03,Ken Johnson,2256,MIA,16,9.7
2868,2002-03,Kendall Gill,383,MIN,82,25.2
2869,2002-03,Kenny Anderson,72,NOH,61,18.6
2870,2002-03,Kenny Satterfield,2261,PHI,39,12.8
2871,2002-03,Kenny Thomas,1903,PHI,66,30.0
2872,2002-03,Kenyon Martin,2030,NJN,77,34.1
2873,2002-03,Keon Clark,1721,SAC,80,22.2
2874,2002-03,Kerry Kittles,954,NJN,65,30.1
2875,2002-03,Kevin Garnett,708,MIN,82,40.5
2876,2002-03,Kevin Ollie,1563,SEA,82,23.2
2877,2002-03,Kevin Willis,788,SAS,71,11.9
2878,2002-03,Keyon Dooling,2039,LAC,55,17.6
2879,2002-03,Kirk Haston,2213,NOH,12,4.8
2880,2002-03,Kobe Bryant,977,LAL,82,41.5
2881,2002-03,Kurt Thomas,703,NYK,81,31.8
2882,2002-03,Kwame Brown,2198,WAS,80,22.2
2883,2002-03,LaPhonso Ellis,111,MIA,55,14.2
2884,2002-03,Lamar Odom,1885,LAC,49,34.2
2885,2002-03,Larry Hughes,1716,WAS,67,31.9
2886,2002-03,Latrell Sprewell,84,NYK,74,38.6
2887,2002-03,Lavor Postell,2068,NYK,12,8.2
2888,2002-03,Lawrence Funderburke,1444,SAC,27,8.4
2889,2002-03,Lee Nailon,1924,NYK,38,10.7
2890,2002-03,Lindsey Hunter,283,TOR,29,23.2
2891,2002-03,Lonny Baxter,2437,CHI,55,12.4
2892,2002-03,Loren Woods,2254,MIN,38,9.2
2893,2002-03,Lorenzen Wright,953,MEM,70,28.3
2894,2002-03,Lucious Harris,446,NJN,77,25.6
2895,2002-03,Maceo Baston,1766,TOR,16,6.5
2896,2002-03,Malik Allen,2124,MIA,80,29.0
2897,2002-03,Malik Rose,990,SAS,79,24.4
2898,2002-03,Mamadou N'diaye,2055,TOR,22,16.6
2899,2002-03,Manu Ginobili,1938,SAS,69,20.8
2900,2002-03,Marc Jackson,1531,MIN,77,13.5
2901,2002-03,Marcus Camby,948,DEN,29,21.2
2902,2002-03,Marcus Fizer,2033,CHI,38,21.3
2903,2002-03,Marcus Haislip,2409,MIL,39,11.3
2904,2002-03,Mark Blount,1548,BOS,81,17.4
2905,2002-03,Mark Bryant,95,BOS,16,6.2
2906,2002-03,Mark Jackson,349,UTA,82,17.9
2907,2002-03,Mark Madsen,2058,LAL,54,14.5
2908,2002-03,Mark Strickland,1110,DAL,4,3.3
2909,2002-03,Marko Jaric,2060,LAC,66,21.0
2910,2002-03,Mateen Cleaves,2043,SAC,12,4.6
2911,2002-03,Matt Harpring,1723,UTA,78,32.8
2912,2002-03,Matt Maloney,1074,ATL,14,7.3
2913,2002-03,Maurice Taylor,1508,HOU,67,20.6
2914,2002-03,Mehmet Okur,2246,DET,72,19.0
2915,2002-03,Melvin Ely,2408,LAC,52,15.4
2916,2002-03,Mengke Bateer,2370,SAS,12,3.9
2917,2002-03,Metta World Peace,1897,IND,69,33.6
2918,2002-03,Michael Bradley,2214,TOR,67,19.6
2919,2002-03,Michael Curry,688,DET,78,19.9
2920,2002-03,Michael Dickerson,1722,MEM,6,14.6
2921,2002-03,Michael Doleac,1720,NYK,75,13.9
2922,2002-03,Michael Finley,714,DAL,69,38.3
2923,2002-03,Michael Jordan,893,WAS,82,36.9
2924,2002-03,Michael Olowokandi,1709,LAC,36,38.0
2925,2002-03,Michael Redd,2072,MIL,82,28.3
2926,2002-03,Michael Stewart,1565,CLE,47,5.3
2927,2002-03,Mike Batiste,2471,MEM,75,16.7
2928,2002-03,Mike Bibby,1710,SAC,55,33.4
2929,2002-03,Mike Dunleavy,2399,GSW,82,15.9
2930,2002-03,Mike James,2229,MIA,78,22.1
2931,2002-03,Mike Miller,2034,MEM,65,33.6
2932,2002-03,Mike Wilks,2366,MIN,46,15.0
2933,2002-03,Mikki Moore,1630,ATL,8,5.3
2934,2002-03,Milt Palacio,1960,CLE,80,24.7
2935,2002-03,Monty Williams,42,PHI,21,13.2
2936,2002-03,Moochie Norris,983,HOU,82,16.8
2937,2002-03,Morris Peterson,2050,TOR,82,35.9
2938,2002-03,Nate Huffman,1572,TOR,7,11.2
2939,2002-03,Nazr Mohammed,1737,ATL,35,12.9
2940,2002-03,Nene,2403,DEN,80,28.2
2941,2002-03,Nick Van Exel,89,DAL,73,27.9
2942,2002-03,Nikoloz Tskitishvili,2401,DEN,81,16.3
2943,2002-03,Olumide Oyedeji,2071,ORL,27,5.3
2944,2002-03,Oscar Torres,2351,GSW,17,6.1
2945,2002-03,Othella Harrington,970,NYK,74,24.9
2946,2002-03,P.J. Brown,136,NOH,78,33.5
2947,2002-03,Pat Burke,2469,ORL,62,12.7
2948,2002-03,Pat Garrity,1727,ORL,81,31.9
2949,2002-03,Pau Gasol,2200,MEM,82,35.9
2950,2002-03,Paul Pierce,1718,BOS,79,39.2
2951,2002-03,Paul Shirley,2321,ATL,2,2.9
2952,2002-03,Peja Stojakovic,978,SAC,72,34.0
2953,2002-03,Pepe Sanchez,2143,DET,9,4.0
2954,2002-03,Popeye Jones,461,DAL,26,8.6
2955,2002-03,Predrag Drobnjak,1542,SEA,82,24.2
2956,2002-03,Predrag Savovic,2453,DEN,27,9.5
2957,2002-03,Primoz Brezec,2056,IND,22,4.9
2958,2002-03,Quentin Richardson,2047,LAC,59,23.2
2959,2002-03,Qyntel Woods,2417,POR,53,6.3
2960,2002-03,Raef LaFrentz,1711,DAL,69,23.3
2961,2002-03,Rafer Alston,1747,TOR,47,20.9
2962,2002-03,Raja Bell,1952,DAL,75,15.7
2963,2002-03,Randy Brown,753,PHX,32,8.1
2964,2002-03,Randy Livingston,988,NOH,2,5.9
2965,2002-03,Rashard Lewis,1740,SEA,77,39.5
2966,2002-03,Rasheed Wallace,739,POR,74,36.3
2967,2002-03,Rasho Nesterovic,1725,MIN,77,30.4
2968,2002-03,Rasual Butler,2446,MIA,72,21.0
2969,2002-03,Ray Allen,951,SEA,76,37.9
2970,2002-03,Reggie Evans,2501,SEA,67,20.4
2971,2002-03,Reggie Miller,397,IND,70,30.3
2972,2002-03,Reggie Slater,1073,MIN,26,5.5
2973,2002-03,Richard Hamilton,1888,DET,82,32.2
2974,2002-03,Richard Jefferson,2210,NJN,80,35.9
2975,2002-03,Rick Brunson,1594,CHI,17,11.4
2976,2002-03,Rick Fox,296,LAL,76,28.7
2977,2002-03,Ricky Davis,1729,CLE,79,39.7
2978,2002-03,Robert Archibald,2425,MEM,12,6.0
2979,2002-03,Robert Horry,109,LAL,80,29.3
2980,2002-03,Robert Pack,123,NOH,28,15.6
2981,2002-03,Robert Traylor,1714,NOH,69,12.3
2982,2002-03,Rod Strickland,393,MIN,47,20.3
2983,2002-03,Rodney Rogers,915,NJN,68,19.2
2984,2002-03,Rodney White,2206,DEN,72,21.7
2985,2002-03,Roger Mason Jr.,2427,CHI,17,6.7
2986,2002-03,Ron Mercer,1500,IND,72,23.2
2987,2002-03,Ruben Boumtje-Boumtje,2257,POR,2,2.3
2988,2002-03,Ruben Patterson,1739,POR,78,21.3
2989,2002-03,Ruben Wolkowyski,2106,BOS,7,3.4
2990,2002-03,Ryan Bowen,1763,DEN,62,16.1
2991,2002-03,Ryan Humphrey,2415,MEM,48,9.2
2992,2002-03,Sam Cassell,208,MIL,78,34.6
2993,2002-03,Samaki Walker,955,LAL,67,18.6
2994,2002-03,Scot Pollard,1513,SAC,23,14.1
2995,2002-03,Scott Padgett,1909,UTA,82,16.1
2996,2002-03,Scott Williams,281,PHX,69,12.7
2997,2002-03,Scottie Pippen,937,POR,64,29.9
2998,2002-03,Sean Lampley,2253,MIA,35,13.9
2999,2002-03,Sean Marks,1752,MIA,23,9.7
3000,2002-03,Sean Rooks,399,LAC,70,19.2
3001,2002-03,Shammond Williams,1742,DEN,78,24.1
3002,2002-03,Shandon Anderson,1000,NYK,82,21.1
3003,2002-03,Shane Battier,2203,MEM,78,30.5
3004,2002-03,Shaquille O'Neal,406,LAL,67,37.8
3005,2002-03,Shareef Abdur-Rahim,949,ATL,81,38.0
3006,2002-03,Shawn Bradley,762,DAL,81,21.3
3007,2002-03,Shawn Kemp,431,ORL,79,20.6
3008,2002-03,Shawn Marion,1890,PHX,81,41.7
3009,2002-03,Slava Medvedenko,2098,LAL,58,10.7
3010,2002-03,Smush Parker,2470,CLE,66,16.7
3011,2002-03,Soumaila Samake,2066,LAL,13,5.9
3012,2002-03,Speedy Claxton,2049,SAS,30,15.6
3013,2002-03,Stacey Augmon,278,NOH,70,12.3
3014,2002-03,Stephen Jackson,1536,SAS,80,28.1
3015,2002-03,Stephon Marbury,950,PHX,81,40.1
3016,2002-03,Steve Francis,1883,HOU,81,41.0
3017,2002-03,Steve Kerr,70,SAS,75,12.7
3018,2002-03,Steve Nash,959,DAL,82,33.1
3019,2002-03,Steven Hunter,2212,ORL,33,13.6
3020,2002-03,Steven Smith,120,SAS,53,19.5
3021,2002-03,Stromile Swift,2031,MEM,67,22.0
3022,2002-03,Tamar Slay,2447,NJN,36,7.6
3023,2002-03,Tariq Abdul-Wahad,1505,DAL,14,14.5
3024,2002-03,Tayshaun Prince,2419,DET,42,10.4
3025,2002-03,Terence Morris,2242,HOU,49,12.9
3026,2002-03,Theo Ratliff,689,ATL,81,31.2
3027,2002-03,Tierre Brown,2357,CLE,15,11.2
3028,2002-03,Tim Duncan,1495,SAS,81,39.3
3029,2002-03,Tim Hardaway,896,IND,10,12.6
3030,2002-03,Tim Thomas,1501,MIL,80,29.5
3031,2002-03,Tito Maddox,2432,HOU,9,3.8
3032,2002-03,Todd MacCulloch,1928,PHI,42,19.3
3033,2002-03,Tom Gugliotta,339,PHX,27,16.5
3034,2002-03,Toni Kukoc,389,MIL,63,27.0
3035,2002-03,Tony Battie,1499,BOS,67,25.1
3036,2002-03,Tony Delk,960,BOS,67,28.0
3037,2002-03,Tony Massenburg,763,UTA,58,13.6
3038,2002-03,Tony Parker,2225,SAS,82,33.9
3039,2002-03,Tracy McGrady,1503,ORL,75,39.3
3040,2002-03,Tracy Murray,145,LAL,32,5.9
3041,2002-03,Travis Best,696,MIA,72,25.1
3042,2002-03,Travis Knight,969,NYK,32,9.0
3043,2002-03,Tremaine Fowlkes,1762,LAC,37,15.5
3044,2002-03,Trenton Hassell,2239,CHI,82,24.4
3045,2002-03,Troy Hudson,1607,MIN,79,32.9
3046,2002-03,Troy Murphy,2211,GSW,79,31.8
3047,2002-03,Tyrone Hill,238,PHI,56,24.2
3048,2002-03,Tyronn Lue,1731,WAS,75,26.5
3049,2002-03,Tyson Chandler,2199,CHI,75,24.3
3050,2002-03,Vin Baker,452,BOS,52,18.2
3051,2002-03,Vince Carter,1713,TOR,43,34.2
3052,2002-03,Vincent Yarbrough,2428,DEN,59,23.4
3053,2002-03,Vitaly Potapenko,958,SEA,26,15.4
3054,2002-03,Vlade Divac,124,SAC,80,29.8
3055,2002-03,Vladimir Radmanovic,2209,SEA,72,26.5
3056,2002-03,Vladimir Stepania,1735,MIA,79,20.2
3057,2002-03,Voshon Lenard,702,TOR,63,30.6
3058,2002-03,Wally Szczerbiak,1887,MIN,52,35.3
3059,2002-03,Walt Williams,1005,DAL,66,17.6
3060,2002-03,Walter McCarty,962,BOS,82,23.8
3061,2002-03,Wang Zhi-zhi,1917,LAC,41,10.0
3062,2002-03,Wesley Person,445,MEM,66,29.4
3063,2002-03,Yao Ming,2397,HOU,82,29.0
3064,2002-03,Zach Randolph,2216,POR,77,16.9
3065,2002-03,Zeljko Rebraca,1442,DET,30,16.3
3066,2002-03,Zendon Hamilton,1985,TOR,3,3.7
3067,2002-03,Zydrunas Ilgauskas,980,CLE,81,30.0
3068,2003-04,Aaron McKie,243,PHI,75,28.2
3069,2003-04,Aaron Williams,1425,NJN,72,18.6
3070,2003-04,Adonal Foyle,1502,GSW,44,13.1
3071,2003-04,Adrian Griffin,1559,HOU,19,6.4
3072,2003-04,Al Harrington,1733,IND,79,30.9
3073,2003-04,Alan Henderson,673,ATL,6,11.3
3074,2003-04,Alex Garcia,2682,SAS,2,6.3
3075,2003-04,Allan Houston,275,NYK,50,35.9
3076,2003-04,Allen Iverson,947,PHI,48,42.6
3077,2003-04,Alonzo Mourning,297,NJN,12,18.0
3078,2003-04,Alton Ford,2228,HOU,9,4.5
3079,2003-04,Alvin Williams,1541,TOR,56,31.0
3080,2003-04,Amal McCaskill,1043,PHI,59,10.7
3081,2003-04,Amar'e Stoudemire,2405,PHX,55,36.8
3082,2003-04,Andre Miller,1889,DEN,82,34.7
3083,2003-04,Andrei Kirilenko,1905,UTA,78,37.3
3084,2003-04,Andrew DeClercq,692,ORL,71,17.0
3085,2003-04,Anfernee Hardaway,358,NYK,76,27.6
3086,2003-04,Ansu Sesay,1738,SEA,57,10.1
3087,2003-04,Antawn Jamison,1712,DAL,82,29.0
3088,2003-04,Anthony Carter,1853,SAS,5,17.4
3089,2003-04,Anthony Goldwire,924,NJN,11,7.6
3090,2003-04,Anthony Johnson,1533,IND,73,22.0
3091,2003-04,Anthony Peeler,324,SAC,75,18.4
3092,2003-04,Antoine Walker,952,DAL,82,34.6
3093,2003-04,Antonio Daniels,1498,SEA,71,21.3
3094,2003-04,Antonio Davis,213,CHI,80,32.2
3095,2003-04,Antonio McDyess,686,PHX,42,22.1
3096,2003-04,Austin Croshere,1506,IND,77,13.6
3097,2003-04,Avery Johnson,422,GSW,46,13.8
3098,2003-04,Baron Davis,1884,NOH,67,40.1
3099,2003-04,Ben Handlogten,1052,UTA,17,10.1
3100,2003-04,Ben Wallace,1112,DET,81,37.8
3101,2003-04,Bimbo Coles,902,MIA,22,7.6
3102,2003-04,Bo Outlaw,448,MEM,82,19.7
3103,2003-04,Bob Sura,682,ATL,80,20.7
3104,2003-04,Bobby Jackson,1517,SAC,50,23.8
3105,2003-04,Bobby Simmons,2250,LAC,56,24.5
3106,2003-04,Bonzi Wells,1719,MEM,72,26.0
3107,2003-04,Boris Diaw,2564,ATL,76,25.2
3108,2003-04,Bostjan Nachbar,2411,HOU,45,11.3
3109,2003-04,Brad Miller,1802,SAC,72,36.5
3110,2003-04,Brandon Armstrong,2220,NJN,56,7.6
3111,2003-04,Brandon Hunter,2599,BOS,36,11.2
3112,2003-04,Brendan Haywood,2217,WAS,77,19.4
3113,2003-04,Brent Barry,699,SEA,59,30.6
3114,2003-04,Brevin Knight,1510,MIL,56,18.5
3115,2003-04,Brian Cardinal,2073,GSW,76,21.5
3116,2003-04,Brian Cook,2567,LAL,35,12.5
3117,2003-04,Brian Grant,258,MIA,76,30.3
3118,2003-04,Brian Scalabrine,2243,NJN,69,13.3
3119,2003-04,Brian Skinner,1730,MIL,56,28.2
3120,2003-04,Britton Johnsen,2639,ORL,20,14.6
3121,2003-04,Bruce Bowen,1477,SAS,82,32.0
3122,2003-04,Bruno Sundov,1743,NYK,5,6.1
3123,2003-04,Bryce Drew,1724,NOH,15,5.1
3124,2003-04,Bryon Russell,935,LAL,72,13.0
3125,2003-04,Calbert Cheaney,384,GSW,79,26.1
3126,2003-04,Calvin Booth,1916,SEA,71,16.9
3127,2003-04,Carlos Arroyo,2306,UTA,71,28.2
3128,2003-04,Carlos Boozer,2430,CLE,75,34.6
3129,2003-04,Carmelo Anthony,2546,DEN,82,36.5
3130,2003-04,Caron Butler,2406,MIA,68,29.8
3131,2003-04,Casey Jacobsen,2418,PHX,78,23.5
3132,2003-04,Cezary Trybanski,2456,NYK,7,1.8
3133,2003-04,Charles Oakley,891,HOU,7,3.4
3134,2003-04,Charlie Ward,369,SAS,71,17.6
3135,2003-04,Chauncey Billups,1497,DET,78,35.5
3136,2003-04,Cherokee Parks,685,GSW,12,4.9
3137,2003-04,Chris Andersen,2365,DEN,71,14.5
3138,2003-04,Chris Bosh,2547,TOR,75,33.6
3139,2003-04,Chris Crawford,1544,ATL,56,21.6
3140,2003-04,Chris Jefferies,2423,CHI,21,9.4
3141,2003-04,Chris Kaman,2549,LAC,82,22.6
3142,2003-04,Chris Mihm,2036,BOS,76,17.5
3143,2003-04,Chris Webber,185,SAC,23,36.2
3144,2003-04,Chris Whitney,43,WAS,16,11.5
3145,2003-04,Chris Wilcox,2404,LAC,65,20.6
3146,2003-04,Christian Laettner,363,WAS,48,20.5
3147,2003-04,Chucky Atkins,1088,BOS,64,24.0
3148,2003-04,Clar. Weatherspoon,221,HOU,52,16.8
3149,2003-04,Clifford Robinson,361,GSW,82,34.7
3150,2003-04,Corey Maggette,1894,LAC,73,36.0
3151,2003-04,Corie Blount,916,TOR,62,16.8
3152,2003-04,Corliss Williamson,722,DET,79,19.9
3153,2003-04,Curtis Borchardt,2414,UTA,16,16.1
3154,2003-04,Cuttino Mobley,1749,HOU,80,40.4
3155,2003-04,Dahntay Jones,2563,MEM,20,7.7
3156,2003-04,Dajuan Wagner,2402,CLE,44,16.1
3157,2003-04,Dale Davis,905,POR,76,22.2
3158,2003-04,Damon Jones,1800,MIL,82,24.5
3159,2003-04,Damon Stoudamire,757,POR,82,38.1
3160,2003-04,Damone Brown,2245,NJN,3,5.4
3161,2003-04,Dan Dickau,2424,POR,43,6.8
3162,2003-04,Dan Gadzuric,2429,MIL,75,16.7
3163,2003-04,Dan Langhi,2061,MIL,6,5.8
3164,2003-04,Dana Barros,344,BOS,1,10.9
3165,2003-04,Daniel Santiago,2091,MIL,54,13.1
3166,2003-04,Danny Fortson,1504,DAL,56,11.1
3167,2003-04,Darius Miles,2032,POR,79,26.3
3168,2003-04,Darius Songaila,2443,SAC,73,13.3
3169,2003-04,Darko Milicic,2545,DET,34,4.7
3170,2003-04,Darrell Armstrong,353,NOH,79,28.4
3171,2003-04,Darrick Martin,239,MIN,16,10.9
3172,2003-04,Darvin Ham,1032,DET,54,8.7
3173,2003-04,David Wesley,133,NOH,61,32.9
3174,2003-04,David West,2561,NOH,71,13.1
3175,2003-04,DeSagana Diop,2205,CLE,56,12.9
3176,2003-04,DeShawn Stevenson,2052,ORL,80,30.6
3177,2003-04,DerMarr Johnson,2035,NYK,21,13.5
3178,2003-04,Derek Anderson,1507,POR,51,35.5
3179,2003-04,Derek Fisher,965,LAL,82,21.5
3180,2003-04,Derrick Coleman,934,PHI,34,24.9
3181,2003-04,Derrick Dial,1760,ORL,9,9.2
3182,2003-04,Desmond Ferguson,2724,POR,7,4.4
3183,2003-04,Desmond Mason,2046,MIL,82,30.9
3184,2003-04,Desmond Penigar,2667,ORL,10,8.6
3185,2003-04,Devean George,1904,LAL,82,23.8
3186,2003-04,Devin Brown,2484,SAS,58,10.7
3187,2003-04,Dikembe Mutombo,87,NYK,65,23.1
3188,2003-04,Dion Glover,1901,TOR,69,23.8
3189,2003-04,Dirk Nowitzki,1717,DAL,77,37.9
3190,2003-04,Donnell Harvey,2051,PHX,60,13.2
3191,2003-04,Donyell Marshall,923,TOR,82,36.4
3192,2003-04,Doug Christie,57,SAC,82,33.9
3193,2003-04,Doug Overton,77,LAC,61,17.0
3194,2003-04,Drew Gooden,2400,ORL,79,27.1
3195,2003-04,Dwyane Wade,2548,MIA,61,35.0
3196,2003-04,Earl Boykins,1863,DEN,82,22.4
3197,2003-04,Earl Watson,2248,MEM,81,20.7
3198,2003-04,Eddie Gill,2109,POR,22,7.0
3199,2003-04,Eddie House,2067,LAC,60,19.7
3200,2003-04,Eddie Jones,224,MIA,81,37.0
3201,2003-04,Eddie Robinson,1944,CHI,51,20.1
3202,2003-04,Eddy Curry,2201,CHI,73,29.6
3203,2003-04,Eduardo Najera,2059,DAL,58,12.4
3204,2003-04,Elden Campbell,922,DET,65,13.8
3205,2003-04,Elton Brand,1882,LAC,69,38.8
3206,2003-04,Eric Piatkowski,15,HOU,49,14.3
3207,2003-04,Eric Snow,727,PHI,82,36.3
3208,2003-04,Eric Williams,677,CLE,71,26.5
3209,2003-04,Erick Dampier,956,GSW,74,32.5
3210,2003-04,Erick Strickland,1065,MIL,43,13.3
3211,2003-04,Ervin Johnson,911,MIN,66,14.7
3212,2003-04,Etan Thomas,2041,WAS,79,24.0
3213,2003-04,Flip Murray,2436,SEA,82,24.7
3214,2003-04,Francisco Elson,1922,DEN,62,14.1
3215,2003-04,Frank Williams,2421,NYK,56,12.7
3216,2003-04,Fred Hoiberg,697,MIN,79,22.7
3217,2003-04,Fred Jones,2410,IND,81,18.5
3218,2003-04,Gary Payton,56,LAL,82,34.6
3219,2003-04,Gary Trent,718,MIN,68,15.0
3220,2003-04,George Lynch,248,NOH,78,21.7
3221,2003-04,Gerald Wallace,2222,SAC,37,9.1
3222,2003-04,Gilbert Arenas,2240,WAS,55,37.6
3223,2003-04,Glen Rice,779,LAC,18,14.5
3224,2003-04,Glenn Robinson,299,PHI,42,32.0
3225,2003-04,Gordan Giricek,1921,UTA,73,28.0
3226,2003-04,Greg Buckner,1761,PHI,53,13.2
3227,2003-04,Greg Ostertag,731,UTA,78,27.6
3228,2003-04,Hedo Turkoglu,2045,SAS,80,26.0
3229,2003-04,Hiram Fuller,2673,ATL,4,10.6
3230,2003-04,Horace Grant,270,LAL,55,20.2
3231,2003-04,Howard Eisley,458,PHX,67,21.8
3232,2003-04,Hubert Davis,93,NJN,17,4.5
3233,2003-04,Ime Udoka,2137,LAL,4,7.0
3234,2003-04,Ira Newble,1956,CLE,64,19.5
3235,2003-04,J.R. Bremer,2452,GSW,36,12.2
3236,2003-04,Jabari Smith,2074,SAC,31,5.5
3237,2003-04,Jacque Vaughn,1521,ATL,71,17.8
3238,2003-04,Jahidi White,1751,PHX,62,14.0
3239,2003-04,Jake Tsakalidis,2054,MEM,40,13.3
3240,2003-04,Jake Voskuhl,2063,PHX,66,24.2
3241,2003-04,Jalen Rose,147,TOR,66,38.1
3242,2003-04,Jamaal Magloire,2048,NOH,82,34.1
3243,2003-04,Jamaal Tinsley,2224,IND,52,26.5
3244,2003-04,Jamal Crawford,2037,CHI,80,35.2
3245,2003-04,Jamal Mashburn,469,NOH,19,38.4
3246,2003-04,Jamal Sampson,2441,LAL,10,13.1
3247,2003-04,James Jones,2592,IND,6,4.3
3248,2003-04,James Posey,1899,MEM,82,29.8
3249,2003-04,Jamison Brewer,2249,IND,13,12.5
3250,2003-04,Jannero Pargo,2457,CHI,31,15.4
3251,2003-04,Jared Jeffries,2407,WAS,82,23.4
3252,2003-04,Jarron Collins,2260,UTA,81,21.4
3253,2003-04,Jarvis Hayes,2553,WAS,70,29.2
3254,2003-04,Jason Collier,2044,ATL,20,27.3
3255,2003-04,Jason Collins,2215,NJN,78,28.5
3256,2003-04,Jason Hart,2078,SAS,53,12.5
3257,2003-04,Jason Kapono,2574,CLE,41,10.3
3258,2003-04,Jason Kidd,467,NJN,67,36.8
3259,2003-04,Jason Richardson,2202,GSW,78,37.7
3260,2003-04,Jason Terry,1891,ATL,81,37.2
3261,2003-04,Jason Williams,1715,MEM,72,29.3
3262,2003-04,Jeff Foster,1902,IND,82,23.8
3263,2003-04,Jeff McInnis,976,CLE,70,34.0
3264,2003-04,Jeff Trepagnier,2244,DEN,11,8.8
3265,2003-04,Jelani McCoy,1741,CLE,2,6.6
3266,2003-04,Jermaine O'Neal,979,IND,78,35.8
3267,2003-04,Jerome Beasley,2602,MIA,2,2.6
3268,2003-04,Jerome James,1744,SEA,65,15.3
3269,2003-04,Jerome Moiso,2040,TOR,35,11.9
3270,2003-04,Jerome Williams,966,CHI,68,23.9
3271,2003-04,Jerry Stackhouse,711,WAS,26,29.8
3272,2003-04,Jim Jackson,754,HOU,80,39.0
3273,2003-04,Jiri Welsch,2412,BOS,81,27.0
3274,2003-04,Joe Johnson,2207,PHX,82,40.7
3275,2003-04,Joe Smith,693,MIL,76,29.7
3276,2003-04,Joel Przybilla,2038,ATL,17,20.3
3277,2003-04,John Salmons,2422,PHI,77,20.6
3278,2003-04,John Wallace,961,MIA,37,9.9
3279,2003-04,Jon Barry,468,DEN,57,19.1
3280,2003-04,Jonathan Bender,1886,IND,21,12.8
3281,2003-04,Josh Davis,2668,ATL,4,5.6
3282,2003-04,Josh Howard,2572,DAL,67,23.7
3283,2003-04,Juan Dixon,2413,WAS,71,20.8
3284,2003-04,Jumaine Jones,1908,BOS,42,8.8
3285,2003-04,Juwan Howard,436,ORL,81,35.6
3286,2003-04,Kaniel Dickens,2079,POR,3,4.4
3287,2003-04,Kareem Rush,2416,LAL,72,17.3
3288,2003-04,Karl Malone,252,LAL,42,32.8
3289,2003-04,Kedrick Brown,2208,CLE,55,17.6
3290,2003-04,Keith Bogans,2586,ORL,73,24.5
3291,2003-04,Keith McLeod,2693,MIN,33,11.7
3292,2003-04,Keith Van Horn,1496,MIL,72,32.5
3293,2003-04,Kelvin Cato,1509,HOU,69,25.3
3294,2003-04,Kendall Gill,383,CHI,56,25.2
3295,2003-04,Kendrick Perkins,2570,BOS,10,3.5
3296,2003-04,Kenny Anderson,72,IND,44,20.7
3297,2003-04,Kenny Thomas,1903,PHI,74,36.5
3298,2003-04,Kenyon Martin,2030,NJN,65,34.7
3299,2003-04,Keon Clark,1721,UTA,2,14.0
3300,2003-04,Kerry Kittles,954,NJN,82,34.7
3301,2003-04,Kevin Garnett,708,MIN,82,39.5
3302,2003-04,Kevin Ollie,1563,CLE,82,17.0
3303,2003-04,Kevin Willis,788,SAS,48,7.7
3304,2003-04,Keyon Dooling,2039,LAC,58,19.5
3305,2003-04,Kirk Hinrich,2550,CHI,76,35.6
3306,2003-04,Kirk Penney,2632,MIA,2,8.6
3307,2003-04,Kobe Bryant,977,LAL,65,37.7
3308,2003-04,Kurt Thomas,703,NYK,80,31.8
3309,2003-04,Kwame Brown,2198,WAS,74,30.1
3310,2003-04,Kyle Korver,2594,PHI,74,11.6
3311,2003-04,Lamar Odom,1885,MIA,80,37.5
3312,2003-04,Lamond Murray,441,TOR,33,15.8
3313,2003-04,Larry Hughes,1716,WAS,61,33.9
3314,2003-04,Latrell Sprewell,84,MIN,82,37.8
3315,2003-04,LeBron James,2544,CLE,79,39.6
3316,2003-04,Leandro Barbosa,2571,PHX,70,21.4
3317,2003-04,Lee Nailon,1924,CLE,57,13.7
3318,2003-04,Leon Smith,1910,SEA,1,3.6
3319,2003-04,Lindsey Hunter,283,DET,33,19.8
3320,2003-04,Linton Johnson,2669,CHI,41,17.9
3321,2003-04,Lonny Baxter,2437,WAS,62,12.3
3322,2003-04,Loren Woods,2254,MIA,38,13.2
3323,2003-04,Lorenzen Wright,953,MEM,65,25.8
3324,2003-04,Lucious Harris,446,NJN,69,21.8
3325,2003-04,Luke Ridnour,2557,SEA,69,16.1
3326,2003-04,Luke Walton,2575,LAL,72,10.0
3327,2003-04,Maciej Lampe,2573,PHX,21,10.7
3328,2003-04,Malik Allen,2124,MIA,45,13.7
3329,2003-04,Malik Rose,990,SAS,67,18.7
3330,2003-04,Mamadou N'diaye,2055,ATL,28,13.2
3331,2003-04,Manu Ginobili,1938,SAS,77,29.3
3332,2003-04,Marc Jackson,1531,PHI,22,27.1
3333,2003-04,Marcus Banks,2556,BOS,81,17.0
3334,2003-04,Marcus Camby,948,DEN,72,30.1
3335,2003-04,Marcus Fizer,2033,CHI,46,16.1
3336,2003-04,Marcus Haislip,2409,MIL,31,8.5
3337,2003-04,Mark Blount,1548,BOS,82,29.3
3338,2003-04,Mark Jackson,349,HOU,42,13.8
3339,2003-04,Mark Madsen,2058,MIN,72,17.3
3340,2003-04,Mark Pope,998,DEN,4,5.0
3341,2003-04,Marko Jaric,2060,LAC,58,30.3
3342,2003-04,Marquis Daniels,2605,DAL,56,18.5
3343,2003-04,Mateen Cleaves,2043,CLE,4,22.8
3344,2003-04,Matt Barnes,2440,LAC,38,19.0
